Rank, Name, Company, Worth
514, James Cargill, II., None, 4200.0
514, Archie Aldis Emmerson, None, 4200.0
514, Antti Herlin, None, 4200.0
514, Sumet Jiaravanon, None, 4200.0
514, Lars Larsen, None, 4200.0
514, Marianne Liebmann, None, 4200.0
514, Bobby Murphy, None, 4200.0
514, Igor Olenicoff, None, 4200.0
514, Walter Scott, Jr., None, 4200.0
514, Clemmie Spangler, Jr., None, 4200.0
514, Wang Yusuo, None, 4200.0
527, Carl Bennet, None, 4100.0
527, Arthur Blank, None, 4100.0
527, Jaran Chiaravanont, None, 4100.0
527, Jack & Laura Dangermond, None, 4100.0
527, Fan Hongwei, None, 4100.0
527, John Gandel, None, 4100.0
527, James Jannard, None, 4100.0
527, Montri Jiaravanont, None, 4100.0
527, Samuel Tak Lee, None, 4100.0
527, Pawan Munjal, None, 4100.0
527, Axel Oberwelland, None, 4100.0
527, James Packer, None, 4100.0
527, Isaac Perlmutter, None, 4100.0
527, H. Ross Perot, Sr., None, 4100.0
527, Michael Pieper, None, 4100.0
527, Thomas Pritzker, None, 4100.0
527, Julian Robertson, Jr., None, 4100.0
527, Renzo Rosso, None, 4100.0
527, Hussain Sajwani, None, 4100.0
527, Yasumitsu Shigeta, None, 4100.0
527, Evan Spiegel, None, 4100.0
527, Wang Xing, None, 4100.0
527, Kelcy Warren, None, 4100.0
550, Ben Ashkenazy, None, 4000.0
550, Ursula Bechtolsheimer-Kipp, None, 4000.0
550, Otto Philipp Braun, None, 4000.0
550, Che Jianxing, None, 4000.0
550, Dagmar Dolby, None, 4000.0
550, Traudl Engelhorn, None, 4000.0
550, Dan Friedkin, None, 4000.0
550, Sergei Galitsky, None, 4000.0
550, Huang Rulun, None, 4000.0
550, Erman Ilicak, None, 4000.0
550, Ronald Lauder, None, 4000.0
550, Michel Leclercq, None, 4000.0
550, Michael Moritz, None, 4000.0
550, Issad Rebrab, None, 4000.0
550, Naguib Sawiris, None, 4000.0
550, Richard Schulze, None, 4000.0
550, B.R. Shetty, None, 4000.0
550, Jeff Sutton, None, 4000.0
550, Tony Tan Caktiong, None, 4000.0
550, Yu Huijiao, None, 4000.0
550, Zhang Xuexin, None, 4000.0
550, Zhang Yiming, None, 4000.0
572, Suhail Bahwan, None, 3900.0
572, Rick Caruso, None, 3900.0
572, Tom Gores, None, 3900.0
572, Peter Hargreaves, None, 3900.0
572, Daniela Herz, None, 3900.0
572, Guenter Herz, None, 3900.0
572, Masatoshi Ito, None, 3900.0
572, Barry Lam, None, 3900.0
572, Sudhir & Samir Mehta, None, 3900.0
572, Ravi Pillai, None, 3900.0
572, Stewart and Lynda Resnick, None, 3900.0
572, Jerry Speyer, None, 3900.0
572, Harry Stine, None, 3900.0
572, George Ty, None, 3900.0
572, Steven Udvar-Hazy, None, 3900.0
572, Christoph Zeller, None, 3900.0
588, Nathan Blecharczyk, None, 3800.0
588, Hubert Burda, None, 3800.0
588, Chen Dongsheng, None, 3800.0
588, Brian Chesky, None, 3800.0
588, Gustaf Douglas, None, 3800.0
588, Joe Gebbia, None, 3800.0
588, Peter Gilgan, None, 3800.0
588, Jeff Greene, None, 3800.0
588, Jiang Weiping, None, 3800.0
588, Dominika & Sebastian Kulczyk, None, 3800.0
588, Li Wa, None, 3800.0
588, Robert McNair, None, 3800.0
588, Masahiro Miki, None, 3800.0
588, Katharina Otto-Bernstein, None, 3800.0
588, Ira Rennert, None, 3800.0
588, Henry Samueli, None, 3800.0
588, Zeng Fangqin, None, 3800.0
588, Zhang Jin, None, 3800.0
606, Nick Caporella, None, 3700.0
606, Mark Cuban, None, 3700.0
606, Ken Fisher, None, 3700.0
606, Jaime Gilinski Bacal, None, 3700.0
606, Andreas Halvorsen, None, 3700.0
606, H. Fisk Johnson, None, 3700.0
606, Imogene Powers Johnson, None, 3700.0
606, S. Curtis Johnson, None, 3700.0
606, Helen Johnson-Leipold, None, 3700.0
606, Winifred Johnson-Marquart, None, 3700.0
606, Viatcheslav Kantor, None, 3700.0
606, Samvel Karapetyan, None, 3700.0
606, Marc Ladreit de Lacharriere, None, 3700.0
606, Angela Leong, None, 3700.0
606, Li Gaiteng, None, 3700.0
606, Mangal Prabhat Lodha, None, 3700.0
606, Michael Milken, None, 3700.0
606, Yuri Milner, None, 3700.0
606, Andreas Struengmann, None, 3700.0
606, Thomas Struengmann, None, 3700.0
606, Tse Ping, None, 3700.0
606, Yitzhak Tshuva, None, 3700.0
606, Samuel Yin, None, 3700.0
629, Michael Ashley, None, 3600.0
629, Cao Longxiang, None, 3600.0
629, Jeffery Hildebrand, None, 3600.0
