Rank, Name, Worth, Source
441, Ted Lerner, 4700.0, real estate
441, Li Shuirong, 4700.0, petrochemicals
441, Lim Kok Thay, 4700.0, casinos
441, Niels Peter Louis-Hansen, 4700.0, medical devices
441, Fredrik Lundberg, 4700.0, real estate, investments
441, Gwendolyn Sontheim Meyer, 4700.0, Cargill
441, J. Christopher Reyes, 4700.0, food distribution
441, Jude Reyes, 4700.0, food distribution
441, Alexandra Schoerghuber, 4700.0, real estate
441, Sheldon Solow, 4700.0, real estate
441, Lucio Tan, 4700.0, diversified
456, Majid Al Futtaim, 4600.0, real estate, retail
456, Andrej Babis, 4600.0, agriculture
456, Dona Bertarelli, 4600.0, biotech
456, Cai Kui, 4600.0, real estate
456, Bidzina Ivanishvili, 4600.0, investments
456, Jeremy Jacobs, Sr., 4600.0, concessions
456, Chris Larsen, 4600.0, cryptocurrency
456, Patrick Lee, 4600.0, paper
456, Liang Wengen, 4600.0, construction equipment
456, Denis O'Brien, 4600.0, telecom
466, Kapil & Rahul Bhatia, 4500.0, airlines
466, Jean-Pierre Cayard, 4500.0, spirits
466, Chey Tae-Won, 4500.0, IT, telecom
466, Fang Wei, 4500.0, steel
466, Andrei Guriev, 4500.0, fertilizers
466, Bertil Hult, 4500.0, education
466, Ji Changqun, 4500.0, real estate
466, Paul Tudor Jones, II., 4500.0, hedge funds
466, Robert Miller, 4500.0, retail
466, Sergei Popov, 4500.0, banking
466, Juan Roig, 4500.0, supermarkets
466, John Sall, 4500.0, software
466, Leonard Stern, 4500.0, real estate
466, Ye Chenghai, 4500.0, pharmaceuticals
480, Anthony Bamford, 4400.0, construction equipment
480, Chu Mang Yee, 4400.0, real estate
480, Juan Carlos Escotet, 4400.0, banking
480, Miguel Fluxa Rossello, 4400.0, hotels
480, Andrew Forrest, 4400.0, mining
480, Paul Gauselmann, 4400.0, gambling
480, Tamara Gustavson, 4400.0, self storage
480, Micky Jagtiani, 4400.0, retail
480, Johan Johannson, 4400.0, grocery stores
480, Richard Li, 4400.0, telecom
480, John Morris, 4400.0, sporting goods retail
480, Theo Mueller, 4400.0, dairy
480, Akio Nitori, 4400.0, home furnishings
480, Wolfgang Reimann, 4400.0, consumer goods
480, Matthias Reimann-Andersen, 4400.0, consumer goods
480, Stefan Reimann-Andersen, 4400.0, consumer goods
480, Renate Reimann-Haas, 4400.0, consumer goods
480, Robert Smith, 4400.0, private equity
480, Russ Weiner, 4400.0, energy drinks
499, Jeronimo Arango, 4300.0, retail
499, Rahul Bajaj, 4300.0, motorcycles
499, Rainer Blickle, 4300.0, auto parts
499, Rocco Commisso, 4300.0, telecom
499, Giuseppe De'Longhi, 4300.0, coffee makers
499, Tilman Fertitta, 4300.0, Houston Rockets, entertainment
499, Nathan Kirsh, 4300.0, retail, real estate
499, Terrence Pegula, 4300.0, natural gas
499, Robert Pera, 4300.0, wireless networking gear
499, Gary Rollins, 4300.0, pest control
499, Randall Rollins, 4300.0, pest control
499, Alejandro Santo Domingo, 4300.0, beer
499, Andres Santo Domingo, 4300.0, beer
499, Pham Nhat Vuong, 4300.0, diversified
499, Roger Wang, 4300.0, retail
514, Stephen Bisciotti, 4200.0, staffing, Baltimore Ravens
514, Austen Cargill, II., 4200.0, Cargill
514, James Cargill, II., 4200.0, Cargill
514, Archie Aldis Emmerson, 4200.0, timberland, lumber mills
514, Antti Herlin, 4200.0, elevators, escalators
514, Sumet Jiaravanon, 4200.0, diversified
514, Lars Larsen, 4200.0, retail
514, Marianne Liebmann, 4200.0, Cargill
514, Bobby Murphy, 4200.0, Snapchat
514, Igor Olenicoff, 4200.0, real estate
514, Walter Scott, Jr., 4200.0, utilities, telecom
514, Clemmie Spangler, Jr., 4200.0, investments
514, Wang Yusuo, 4200.0, natural gas distribution
527, Carl Bennet, 4100.0, investments
527, Arthur Blank, 4100.0, Home Depot
527, Jaran Chiaravanont, 4100.0, diversified
527, Jack & Laura Dangermond, 4100.0, mapping software
527, Fan Hongwei, 4100.0, petrochemicals
527, John Gandel, 4100.0, shopping malls
527, James Jannard, 4100.0, sunglasses
527, Montri Jiaravanont, 4100.0, diversified
527, Samuel Tak Lee, 4100.0, real estate
527, Pawan Munjal, 4100.0, motorcycles
527, Axel Oberwelland, 4100.0, candy
527, James Packer, 4100.0, casinos
527, Isaac Perlmutter, 4100.0, Marvel comics
527, H. Ross Perot, Sr., 4100.0, computer services, real estate
527, Michael Pieper, 4100.0, kitchen appliances
527, Thomas Pritzker, 4100.0, hotels, investments
527, Julian Robertson, Jr., 4100.0, hedge funds
527, Renzo Rosso, 4100.0, fashion
527, Hussain Sajwani, 4100.0, real estate
527, Yasumitsu Shigeta, 4100.0, mobile phone retailer
527, Evan Spiegel, 4100.0, Snapchat
527, Wang Xing, 4100.0, e-commerce
527, Kelcy Warren, 4100.0, pipelines
550, Ben Ashkenazy, 4000.0, real estate
550, Ursula Bechtolsheimer-Kipp, 4000.0, retail
550, Otto Philipp Braun, 4000.0, medical technology
550, Che Jianxing, 4000.0, furniture retailing
550, Dagmar Dolby, 4000.0, Dolby Laboratories
550, Traudl Engelhorn, 4000.0, pharmaceuticals, medical equipment
550, Dan Friedkin, 4000.0, Toyota dealerships
550, Sergei Galitsky, 4000.0, retail
550, Huang Rulun, 4000.0, real estate
550, Erman Ilicak, 4000.0, construction
550, Ronald Lauder, 4000.0, Estee Lauder
550, Michel Leclercq, 4000.0, sporting goods
550, Michael Moritz, 4000.0, venture capital
550, Issad Rebrab, 4000.0, food
550, Naguib Sawiris, 4000.0, telecom
550, Richard Schulze, 4000.0, Best Buy
550, B.R. Shetty, 4000.0, healthcare
550, Jeff Sutton, 4000.0, real estate
550, Tony Tan Caktiong, 4000.0, food
550, Yu Huijiao, 4000.0, package delivery
550, Zhang Xuexin, 4000.0, aluminum
550, Zhang Yiming, 4000.0, software
572, Suhail Bahwan, 3900.0, diversified
572, Rick Caruso, 3900.0, real estate
572, Tom Gores, 3900.0, private equity
572, Peter Hargreaves, 3900.0, financial services
572, Daniela Herz, 3900.0, coffee
572, Guenter Herz, 3900.0, coffee
572, Masatoshi Ito, 3900.0, retail
572, Barry Lam, 3900.0, electronics
572, Sudhir & Samir Mehta, 3900.0, diversified
572, Ravi Pillai, 3900.0, construction
572, Stewart and Lynda Resnick, 3900.0, agriculture, water
572, Jerry Speyer, 3900.0, real estate
572, Harry Stine, 3900.0, agriculture
572, George Ty, 3900.0, banking
572, Steven Udvar-Hazy, 3900.0, aircraft leasing
572, Christoph Zeller, 3900.0, dental implants
588, Nathan Blecharczyk, 3800.0, Airbnb
588, Hubert Burda, 3800.0, publishing
588, Chen Dongsheng, 3800.0, insurance
588, Brian Chesky, 3800.0, Airbnb
588, Gustaf Douglas, 3800.0, investments
588, Joe Gebbia, 3800.0, Airbnb
588, Peter Gilgan, 3800.0, homebuilding
588, Jeff Greene, 3800.0, real estate, investments
588, Jiang Weiping, 3800.0, chemicals
588, Dominika & Sebastian Kulczyk, 3800.0, diversified
588, Li Wa, 3800.0, real estate
588, Robert McNair, 3800.0, energy, sports
588, Masahiro Miki, 3800.0, shoes
588, Katharina Otto-Bernstein, 3800.0, real estate
588, Ira Rennert, 3800.0, investments
588, Henry Samueli, 3800.0, semiconductors
588, Zeng Fangqin, 3800.0, smartphone components
588, Zhang Jin, 3800.0, diversified
606, Nick Caporella, 3700.0, beverages
606, Mark Cuban, 3700.0, online media
606, Ken Fisher, 3700.0, money management
606, Jaime Gilinski Bacal, 3700.0, banking
606, Andreas Halvorsen, 3700.0, hedge funds
606, H. Fisk Johnson, 3700.0, cleaning products
